country_code,country_name,year,month,temperature
ME,Montenegro,2015,8,19.93847850061232
ME,Montenegro,2015,9,15.897392145792644
ME,Montenegro,2015,10,10.252621819896081
ME,Montenegro,2015,11,6.266860417524973
ME,Montenegro,2015,12,1.239614420600476
ME,Montenegro,2016,1,0.2520919413335868
ME,Montenegro,2016,2,5.342739771409281
ME,Montenegro,2016,3,4.0701015187848
ME,Montenegro,2016,4,10.514623765150706
ME,Montenegro,2016,5,11.14218290390507
ME,Montenegro,2016,6,17.225166924794515
ME,Montenegro,2016,7,19.350082028296686
ME,Montenegro,2016,8,17.826322340196178
ME,Montenegro,2016,9,14.35371011098226
ME,Montenegro,2016,10,9.83005460616081
ME,Montenegro,2016,11,5.483691595991453
ME,Montenegro,2016,12,0.20442436286999344
ME,Montenegro,2017,1,-4.679414891427563
ME,Montenegro,2017,2,3.5072062209780723
ME,Montenegro,2017,3,6.466944644528051
ME,Montenegro,2017,4,7.268001208702723
ME,Montenegro,2017,5,12.867435947541267
ME,Montenegro,2017,6,18.022173595428466
ME,Montenegro,2017,7,19.49370171946864
ME,Montenegro,2017,8,20.093090303482548
ME,Montenegro,2017,9,13.72892615000407
ME,Montenegro,2017,10,9.353683271715719
ME,Montenegro,2017,11,4.8470004320144655
ME,Montenegro,2017,12,1.0860640065399025
ME,Montenegro,2018,1,2.2158303727065363
ME,Montenegro,2018,2,0.9547440401677578
ME,Montenegro,2018,3,4.1975563399253355
ME,Montenegro,2018,4,11.972453721364339
ME,Montenegro,2018,5,14.889922357374623
ME,Montenegro,2018,6,16.503665192921957
ME,Montenegro,2018,7,18.728977172605454
ME,Montenegro,2018,8,19.63939276049214
ME,Montenegro,2018,9,14.927658955256145
ME,Montenegro,2018,10,11.702505834640995
ME,Montenegro,2018,11,7.065780877073605
ME,Montenegro,2018,12,0.5359570546255957
ME,Montenegro,2019,1,-1.7505050495101686
ME,Montenegro,2019,2,1.3605183985616476
ME,Montenegro,2019,3,5.594227446663765
